AÑO_INICIO,NOMBRE,LAT,LNG,DESCRIPCION,ENTORNO,MONTO_CONTRATO,ETAPA,TIPO,COMUNA,JURISDICCION,MANO_OBRA,PORCENTAJE_AVANCE,ID,ETAPA_DETALLE,AREA_RESPONSABLE,BARRIO,CALLE_1,SECCION,MANZANA,PARCELA,DIRECCION,FECHA_INICIO,FECHA_FIN,PLAZO_MESES,IMAGEN_1,IMAGEN_2,IMAGEN_3,IMAGEN_4,LICITACION_OFERTA_EMPRESA,LICITACION_ANIO,BENEFICIARIOS,COMPROMISO,LINK_INTERNO,PLIEGO_DESCARGA,
2019,Obra 245 PRUEBA 3 - DIRECCION DE INFRAESTRUCTURA ESCOLAR,-30.902078621849233666703329831,-69.20112793322040716849789284,,ARQUITECTURA,21391039.75,En ejecución,EDIFICIOS EDUCATIVOS,,San Juan,,60,3325,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,01/07/2019,25/06/2020,12,,,,,MARIO FORONI CONSTRUCCIONES  S.R.L.,2019,,,,,
2019,Obra 244 PRUEBA 2 - DIRECCION DE INFRAESTRUCTURA ESCOLAR,-30.763389264337423402501007389,-68.543962738119666726588377967,,ARQUITECTURA,21391039.75,En ejecución,EDIFICIOS EDUCATIVOS,,San Juan,,60,3324,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,01/07/2019,25/06/2020,12,,,,,VALDIVIESO Y DEBANDI  S.R.L.,2019,,,,,
2019,Obra 243 PRUEBA 1 - DIRECCION DE INFRAESTRUCTURA ESCOLAR,-30.155280940758987357827736392,-67.655633625811827335814360615,,ARQUITECTURA,21391039.75,En ejecución,EDIFICIOS EDUCATIVOS,,San Juan,,60,3323,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,01/07/2019,25/06/2020,12,,,,,CONSTRUCCIONES SCOP  S.A,2019,,,,,
2019,Obra 251 PRUEBA 2 - DIRECCION DE RECURSOS ENERGETICOS,-29.73213267401978505957220809,-67.992858398379371456250546709,,ARQUITECTURA,21391039.75,En ejecución,EDIFICIOS PUBLICOS,,San Juan,,60,3341,40.En Ejecución,Dirección de Recursos Energéticos,,,,,,,01/07/2019,25/06/2020,12,,,,,HORMIGONES DE CUYO  S.A,2019,,,,,
2019,Obra 250 PRUEBA 1 - DIRECCION DE RECURSOS ENERGETICOS,-31.631411126724542971109431898,-68.40610881629445079835363278,,ARQUITECTURA,21391039.75,En ejecución,EDIFICIOS PUBLICOS,,San Juan,,60,3340,40.En Ejecución,Dirección de Recursos Energéticos,,,,,,,01/07/2019,25/06/2020,12,,,,,MAPAL  S.A.C.I.A.,2019,,,,,
2019,Obra 249 PRUEBA 2 - DIRECCION PROVINCIAL DE ESPACIOS VERDES,-31.754754245869694475725046376,-67.554871712982110768341970318,,ARQUITECTURA,21391039.75,En ejecución,ESPACIOS DE PROTECCION /CONSERVACION AMBIENTAL,,San Juan,,60,3329,40.En Ejecución,Dirección Provincial de Espacios Verdes,,,,,,,01/07/2019,25/06/2020,12,,,,,TERUSI CONSTRUCCIONES  S.A,2019,,,,,
2019,Obra 248 PRUEBA 1 - DIRECCION PROVINCIAL DE ESPACIOS VERDES,-31.598239274831815925438345002,-68.624120589498165231763532415,,ARQUITECTURA,21391039.75,En ejecución,ESPACIOS DE PROTECCION /CONSERVACION AMBIENTAL,,San Juan,,40,3328,40.En Ejecución,Dirección Provincial de Espacios Verdes,,,,,,,01/07/2019,25/06/2020,12,,,,,TERUSI CONSTRUCCIONES  S.A,2019,,,,,
2019,Obra 240 PRUEBA 1 - DIRECCION DE ARQUITECTURA,-30.453577475434739195075004395,-68.663806544935142005390939519,,ARQUITECTURA,21391039.75,En ejecución,INRAESTRUCTURA RECREATIVA Y CULTURAL,,San Juan,,60,3320,40.En Ejecución,Dirección de Arquitectura,,,,,,,01/07/2019,25/06/2020,12,,,,,MAPAL  S.A.C.I.A.,2019,,,,,
2019,Obra 241 PRUEBA 2 - DIRECCION DE ARQUITECTURA,-30.719518661578627781206986061,-68.456601540266875849075146073,,ARQUITECTURA,21391039.75,En ejecución,EDIFICIOS PARA LA SEGURIDAD,,San Juan,,60,3321,40.En Ejecución,Dirección de Arquitectura,,,,,,,01/07/2019,25/06/2020,12,,,,,PERFIL  S.R.L.,2019,,,,,
2019,Obra 242 PRUEBA 3 - DIRECCION DE ARQUITECTURA,-30.898934464996053789867380336,-68.478437664094396309291157725,,ARQUITECTURA,21391039.75,En ejecución,EDIFICIOS PARA LA SALUD,,San Juan,,60,3322,40.En Ejecución,Dirección de Arquitectura,,,,,,,01/07/2019,25/06/2020,12,,,,,MAPAL  S.A.C.I.A.,2019,,,,,
